text,label
"Breaking news: Scientists discover water on Mars","real"
"Shocking! Man grows wings after drinking energy drink","fake"
"Government launches new space mission next month","real"
"Alien spaceship spotted over New York City","fake"
"New policy announced for electric vehicles","real"
"Celebrity claims he can time travel","fake"
"Vaccination drive starts across the country","real"
"Dinosaurs found alive in Amazon forest","fake"
"Medical experts release new health guidelines","real"
"Man claims he saw a dragon in the sky","fake"
"Stock market hits record high after new reforms","real"
"Scientists say unicorn DNA found in lab","fake"
"Sports authority announces new tournament","real"
"New AI technology promises to replace human jobs","real"
"Mermaid spotted near the Indian Ocean","fake"
